Subject,Course,Room,Class Day(s),Class Time,Professor,Duration
CSCI, 12100-1,North Bldg 1001A,MW,11:00 AM,Howitt Katherine Gandolfo,75 mins
CSCI, 12100-2,ThomHunter 502,MTH,11:00 AM,Zamfirescu Christina M,75 mins
CSCI, 12700-1,North Bldg C107,MW,2:00 PM,Avshalumov Ariel,100 mins
CSCI, 13200-1,ThomHunter 502,W,4:00 PM,Navarrette Jordi A.,150 mins
CSCI, 13300-1,North Bldg C109,F,8:00 AM,Korpan Raj Mohan,200 mins
CSCI, 13300-2,West Bldg W412,W,11:00 AM,Dey Soumik,200 mins
CSCI, 13500-1,ThomHunter 414,TH,12:00 PM,Wine Stanley J,150 mins
CSCI, 13500-2,North Bldg 1001C,F,11:00 AM,Shen Xiaoke,150 mins
CSCI, 13500-3,North Bldg C002,TH,10:00 AM,Oyekoya Oyewole Kayode,150 mins
CSCI, 13500-4,North Bldg 118,F,12:00 PM,Makki Mahdi S,150 mins
CSCI, 15000-1,North Bldg C108,MF,7:00 PM,Makki Mahdi S,75 mins
CSCI, 15000-2,North Bldg C108,TTH,8:00 PM,Vazquez-Abad Felisa Josefina,75 mins
CSCI, 15000-3,West Bldg W412,TF,6:00 PM,Grezes Felix,75 mins
CSCI, 15000-4,North Bldg C107,TTH,8:00 PM,Mock Wendy,75 mins
CSCI, 15000-5,North Bldg 510,TTH,6:00 PM,Howitt Katherine Gandolfo,75 mins
CSCI, 16000-1,North Bldg C002,TF,9:00 AM,Liu Bonan,100 mins
CSCI, 23200-1,North Bldg C108,WF,10:00 AM,Vazquez-Abad Felisa Josefina,75 mins
CSCI, 23300-1,North Bldg C002,MW,9:00 AM,Canizales Jaime,75 mins
CSCI, 23500-1,North Bldg 118,MTH,11:00 AM,Debroy Saptarshi,100 mins
CSCI, 26000-1,North Bldg 1001E,T,3:00 PM,Korpan Raj Mohan,200 mins
CSCI, 26500-1,North Bldg C002,T,4:00 PM,Wine Stanley J,150 mins
CSCI, 26500-2,North Bldg 1001A,T,3:00 PM,Zhang Xiaojie,150 mins
CSCI, 26700-1,North Bldg 1516,M,2:00 PM,Shen Xiaoke,150 mins
CSCI, 33500-1,West Bldg W116,W,5:00 PM,Nikolaev Alexey,150 mins
CSCI, 34000-1,ThomHunter 505,TF,2:00 PM,Mock Wendy,100 mins
CSCI, 35300-1,North Bldg 1001B,TF,1:00 PM,Kannan Raman,75 mins
CSCI, 36000-1,North Bldg 510,F,5:00 PM,Mneimneh Saadeddine,150 mins
CSCI, 37200-1,ThomHunter 505,M,5:00 PM,Tojeira Justin,150 mins
CSCI, 39545-1,North Bldg 1516,W,8:00 PM,Dey Soumik,200 mins
CSCI, 39594-1,North Bldg 1001B,MTH,12:00 PM,Khatchadourian Raffi Takvor,100 mins
CSCI, 39596-1,North Bldg 1001E,MF,1:00 PM,Weiss Stewart,100 mins
CSCI, 39597-1,North Bldg C109,MTH,1:00 PM,Howitt Katherine Gandolfo,75 mins
CSCI, 39598-1,West Bldg W412,TH,3:00 PM,Dang Trami K,150 mins
CSCI, 41500-1,ThomHunter 414,T,3:00 PM,Shen Xiaoke,200 mins
CSCI, 43500-1,ThomHunter 408,TH,12:00 PM,Nguyen Minh H.,200 mins
CSCI, 43500-2,North Bldg 1516,W,12:00 PM,Rothstein Jennifer Corey,200 mins
CSCI, 49355-1,North Bldg 118,M,1:00 PM,Nguyen Minh H.,200 mins
CSCI, 49362-1,North Bldg 1001E,MW,6:00 PM,Avshalumov Ariel,75 mins
CSCI, 49376-1,ThomHunter 414,WF,12:00 PM,Zamansky Michael,75 mins
CSCI, 49378-1,North Bldg C002,W,1:00 PM,Canizales Jaime,200 mins
CSCI, 49379-1,ThomHunter 414,TTH,7:00 PM,Korpan Raj Mohan,75 mins
CSCI, 49380-1,North Bldg 1001B,MW,5:00 PM,Nguyen Minh H.,100 mins
CSCI, 49900-1,ThomHunter 414,WF,2:00 PM,Lam Alvin,100 mins
CSCI, 49900-1,ThomHunter 414,WF,2:00 PM,Lam Alvin,100 mins
CSCI, 70500-1,North Bldg 1001E,TTH,9:00 AM,Tojeira Justin,75 mins
CSCI, 72200-1,North Bldg C002,MTH,8:00 PM,Oyekoya Oyewole Kayode,75 mins
CSCI, 74000-1,North Bldg 1001E,F,4:00 PM,Rothstein Jennifer Corey,200 mins
CSCI, 76000-1,ThomHunter 505,MW,9:00 AM,Xie Lei,75 mins
CSCI, 79502-1,North Bldg 1001B,MW,8:00 AM,Grezes Felix,75 mins
CSCI, 79526-1,North Bldg 1516,TF,8:00 PM,Grezes Felix,100 mins
ECO, 29601-1,North Bldg C114,WF,1:00 PM,Ozsoy Mehlika,75 mins
ECO, 30100-1,West Bldg W116,TH,1:00 PM,Mclaughlin Kenneth J,150 mins
ECO, 31000-1,North Bldg 531,W,1:00 PM,Ghosh Prabuddha,200 mins
ECO, 33500-1,West Bldg W415,MW,3:00 PM,Mclaughlin Kenneth J,100 mins
ECO, 34100-1,West Bldg W113,TTH,6:00 PM,Basu Karna,100 mins
ECO, 34500-1,West Bldg W503,F,12:00 PM,Basu Karna,200 mins
ENGL, 77050-1,North Bldg C100,WF,2:00 PM,Park Alison Roh,100 mins
ENGL, 77900-1,West Bldg W611,MF,11:00 AM,Nunez Elizabeth A,100 mins
ENGL, 79001-1,West Bldg W413,TTH,1:00 PM,Allred Jeffrey B.,100 mins
ENGL, 79201-1,West Bldg W1143,TF,4:00 PM,Shavitz Benjamin,75 mins
GEOG, 10100-1,North Bldg 1022,TF,4:00 PM,Miyares Ines M,100 mins
GEOG, 10100-1,North Bldg 1022,TF,4:00 PM,Miyares Ines M,100 mins
GEOG, 10100-2,West Bldg W503,MF,4:00 PM,Campos Ramiro,100 mins
GEOG, 24200-1,West Bldg W503,TH,7:00 PM,Grande Anthony,150 mins
GEOG, 25100-1,North Bldg 1004,TF,6:00 PM,Grande Anthony,75 mins
GEOG, 27000-1,North Bldg 1004,W,2:00 PM,Campos Ramiro,200 mins
GEOG, 38324-1,North Bldg C002,WF,8:00 PM,Campos Ramiro,75 mins
GEOG, 48000-1,North Bldg 1022,TF,12:00 PM,Chatterjee Bipasha,75 mins
GEOG, 48000-2,North Bldg 1004,MTH,4:00 PM,Ibrahim Mohamed B,75 mins
GEOG, 48100-1,North Bldg 1022,MW,3:00 PM,Gong Hongmian,100 mins
GEOG, 48100-2,North Bldg C002,TTH,1:00 PM,Grande Anthony,100 mins
GEOG, 49000-1,North Bldg 1004,MW,10:00 AM,Gong Hongmian,100 mins
GEOG, 49000-2,North Bldg 1004,TF,9:00 AM,Gong Hongmian,100 mins
GEOG, 70100-1,West Bldg W503,TF,9:00 AM,Campos Ramiro,75 mins
GEOG, 70200-1,North Bldg 1022,MTH,10:00 AM,Miyares Ines M,75 mins
GEOG, 71200-1,West Bldg W503,MTH,9:00 AM,Chatterjee Bipasha,100 mins
BIOL, 21000-1,North Bldg 926C,WF,6:00 PM,Eisenstadt Eric,75 mins
BIOL, 79201-1,North Bldg 926C,TH,7:00 PM,Eisenstadt Eric,200 mins
COMPL, 32056-1,West Bldg W707B,F,11:00 AM,Brown Deeadra Ann,200 mins
COMPL, 38085-1,West Bldg W707B,TTH,12:00 PM,Calabritto Monica,100 mins
COMSC, 70000-1,Brook E E102,MW,12:00 PM,Hyun Jungmoon,75 mins
COMSC, 70000-2,Brook W 902,MTH,8:00 AM,Macroy-Higgins Michelle Lee,75 mins
COMSC, 70500-1,Brook W 903,MTH,12:00 PM,Malcolm Taryn Rita,75 mins
COMSC, 70500-2,Brook N N133,TTH,10:00 AM,Eng Nancy,75 mins
COMSC, 70600-1,Brook W 902,MTH,12:00 PM,Eng Nancy,75 mins
COMSC, 71100-1,Brook N N133,M,10:00 AM,Silverman Carol Ann,200 mins
COMSC, 71200-1,Brook E E102,TF,1:00 PM,Silverman Carol Ann,100 mins
COMSC, 71200-2,Brook W 903,MF,3:00 PM,Welner Rachel Lauren,100 mins
COMSC, 71500-1,Brook W 902,MW,3:00 PM,Macroy-Higgins Michelle Lee,100 mins
