Subject,Course,Section,Room,Instructor,Credits,Classes/week,Instructor preference,Instructor Time preference,Course Time preference,,Course
ARTCR,22100,2,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",4,2,,,Evening,,ARTCR 22100
ARTCR,22500,1,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",4,1,,,Morning,,ARTCR 22500
ARTCR,22500,3,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",4,2,,,Afternoon,,ARTCR 22500
ARTCR,23500,3,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",4,2,,,Morning,,ARTCR 23500
ARTCR,23500,2,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",4,2,,,Afternoon,,ARTCR 23500
ARTCR,25100,1,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",4,1,,,Morning,,ARTCR 25100
ARTCR,25100,2,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",4,1,,,Afternoon,,ARTCR 25100
ARTCR,25700,1,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",4,2,,,Morning,,ARTCR 25700
ARTCR,25700,2,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",4,1,,,Afternoon,,ARTCR 25700
ARTCR,25700,1,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",4,2,,,Evening,,ARTCR 25700
ARTCR,27100,3,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",4,2,,,Morning,,ARTCR 27100
ARTCR,27100,2,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",4,1,,,Afternoon,,ARTCR 27100
ARTCR,29000,2,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",4,2,,,Afternoon,,ARTCR 29000
ARTCR,32200,1,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",4,1,,,Afternoon,,ARTCR 32200
